Tensile Modulus (MPa),Tensile Strength (MPa),Flexural strength (MPa),Flexural Modulus (MPa),Glass Transition Temperature (degree celsius),Shore Hardness D (),Density (g/cm3)
Tensile Modulus (MPa),Tensile Strength (MPa),Flexural strength (MPa),Flexural Modulus (MPa),Glass Transition Temperature (degree celsius),Shore Hardness D (),Density (g/cm3)
1280,35,50,1440,76,,
,25,,,,74,
,14,,,,,
,20.5,,,,,
,37,,,,,0.9
3720,72,,,,,
1750,48,,,,,
175,8,,,,40,
1350,42.5,,1250,,75,1.02
1450,42.5,,1300,,74,1.02
1550,44,,1350,34,68,0.98
2550,30,,2275,,77,1.35
3450,31.5,,2300,,,1.4
,1313.5,,,,,7.7
210000,578,,,,,7.78
,,,,,,
148000,407,,,,,7.86
147000,682,,,,,7.86
196500,672.5,,,,,8.35
,,,,,,
,,,,,,
,220,,,,,
,220,,,,,
,,,,,,
131000,407,,,,,8.04
,,,,,,
,320,,,,,
,,,,,,
,461.5,,,,,14
,360,,,,,
68900,157.5,,,,,2.71
73100,196,,,,,2.84
68900,192.5,,,,,2.73
70300,193,,,,,2.68
68900,124,,,,,2.7
68900,241,,,,,2.7
71700,552,,,,,2.83
71700,541,,,,,2.81
117000,286,,,,,8.9
,,,,,,8.9
77200,120,,,,,19.32
196500,505,,,,,8
200000,620,,,,,8
193000,515,,,,,8.91
75000,385,,,,,10.4
186000,900,,,,,16.65
100000,620,,,,,4.48
112500,725,,,,,4.51
3300,55,,2590,88,,1.14
3400,55,,2370,72,,1.2
11500,60,,41200,87,,1.24
14400,80,,4780,68,,1.25
5560,60,,3080,65,,1.27
1574.5,22.5,,,,,1.05
1440,,,,,,1.01
2318.5,31.5,,,,,1.13
3830,,,,,,
3380,45,,,,,1.24
3000,,,,,,
,,,1800,,,1.04
,,,2000,,,1.08
,,,1800,,,1.07
,,,2500,,,1.27
,,,2500,,,1.27
,,,3500,,,1.24
,,,1800,,,1.04
,,,3500,,,1.24
,,,1180,,,1.01
,,,2650,,,1.19
,,,1880,,,1.27
,,,3500,,,1.24
,,,3300,,,1.17
,15,,,,32,1.1
,5.5,,,,88,0.88
,8,,,,41,0.89
1880,37.4,81,1740,84.5,,
1410,7.7,48,775,30.5,,
2400,30,68,2120,66.5,,
,32,60,1900,,,1.04
,33,57,1900,,,1.08
1726,40,62,1814,,,1.07
,48,71,1860,90,,1.25
,49,,,,,1.2
,53.7,,,,,1.23
,,,,,,1.15
,,,,,,1.15
2000,26,40,2100,,,1.05
500,54.5,,,,75,1.08
1400,,,,,,1.01
3500,50,,,57.5,,1.24
3600,53,83,3800,57.5,,1.24
1400,23,,,,,0.96
3200,39,,,,77,1.26
,46.1,,,,78,1.35
,,,,,,
,,,,,,
,1500,,,,,
2100,39.9,72.7,2370,,,
2440,65.1,,,,,
2020,47.5,,,,,
3860,78,,,,,
3500,,,,,,
3800,52.5,,4600,,,
,12,,402,,50,
1900,39.2,60.8,1833,,,
,26,37,1795,,63,
1050,19.4,,,,,
1900,38,,2250,,,
1550,22,51.2,2126,,,
3310,110,55.2,2392.5,,,
1930,71,59.6,2583.9,,,
95,24,,,,45,
3120,70,,,,,
1940,50,70.6,2147.6,,,
,,,,,,
1550,22,51.2,2126,,,
3310,110,55.2,2392.5,,,
3990,19,,,,,
,,,,,,
4210,18.3,,,,,
605,12,,,,,
1860,36,65.7,2148,,,
3145,105,54.4,2364.3,,,
150,50,,,,,
1940,50,70.6,2147.6,,,
3310,110,55.2,2392.5,,,
2030,43.6,,,,,
,,,,,,1.2
,,,,,,
4760,38,,,,,
1400,60,,,,81,
2030,43.6,,,,,
3900,39,,,,,
186300,1278.9,,,,,8.1
179500,612.5,,,,,7.95
216000,1113,,,,,7.83
77200,389.9,,,,,2.67
95000,239,,,,,8.91
172000,452,,,,,7.89
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,634,,,,,
,,,,,,
,,,,,,
,,,,,,
2358,51.65,92.99,2469,75,87,1.19
2280,42,80,1860,58,78,1.18
2136,51,94,2155,63,86,1.15
2200,48,86,2100,44,86,1.12
45,3.5,2.5,90,,30,1.12
2115,45,82,2230,57,84,1.14
2846,64,112,2600,83,88,1.21
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,91,
,20,,,,82.5,
,,,,,45,
,60,,,,91,
,60,,,,86,
,60,,,,88.5,
,60,,,,91,
,60,,,,91,
,45,,,,89.5,
85000,,,,400,,6.7
,,,,,,21.92
246000,92.7,,,,,18.74
167500,430,,,,,3.9
110000,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1800,52,70,1800,,80,1.05
1800,48,70,1800,,80,1.01
2600,30,61.25,2550,,82,1.3
,550,,,,,
,20,,27,,,1.2
61,18,6.2,86,,,1.12
,1150,,,,,7.7
,950,,,,,7.75
,1100,,,,,8
,,,,,,7.9
6130,51,76,4633,,,1.2
1602,46,46.3,1300,,,0.95
5600,67.5,103.5,5050,,,1.08
2644,44,60.3,2210,,,1.26
1542,49,60,1463,,,1.03
,,,,,,7.7
3412,47,63,2906,,,1.28
,430,,,,,2.65
,,,,,,8.35
,,,,,,8.65
,500,,,,,8.78
,840,,,,,8.3
,1000,,,,,8.4
,1050,,,,,8.2
,1160,,,,,4.45
,,,,,,4.4
3550,78,121,3300,,,1.15
3457,74,99,2842,,,1.14
,,38,1600,,70,1.4
,,54,1700,,62,1.3
,,25,1000,,64,1.21
,,38.5,1000,,66,1.21
,,38.5,1000,,66,1.21
,,64.5,,,,
,,28,1000,,66,1.35
,,55,2000,,80,1.44
9380,126.5,132,9050,,,1.1
12740,166,176.7,12400,,,1.4
1044,10.8,,,105,,1.04
701,9.2,,,99.5,,1.08
962.5,11.05,,,103,,1.06
1406.5,19,,,62,,1.34
967,6.4,,,97,,1.04
2100,145,,,,,1.27
,,,,-35,,1.15
,,,,,,1.25
,,,,60,,1.24
,,,,,,1.25
15000,170,,,,,1.18
9000,80,130,8000,74,,1.23
1904.5,17.85,,,60,,1.26
371,7.25,,,,,0.9
2490,25.2,75.85,3290,,,0.94
2064,21.6,,,60,,1.25
,33.3,59,,,,1.125
,65,85,1992,,,1.12
,59.7,94.1,,,,1.19
3738,99.9,147,3612,143,85,1.3
,76.5,158.1,4276,160,,1.29
,46.7,85.1,,,,1.205
3427,90,126,3197,215,,1.27
2230,86,116,2340,186,,1.34
2150,31,58,2100,103,,
,350,80.9,,,,
,450,400,,,,
,350,85,,,,
,250,,,,,
,380,85,,,,
,45,1900,,,80,
,,,,,68,
,45,1900,,,80,
,38,1850,,,81,
,45,1900,,,80,
,46,2000,,,84,
25,16,,,,40,
,,123,2710,,,
4.6,2,,,,,
1853,51.5,79.6,2293,55,86,
1853,51.5,79.6,2293,55,86,
,,123,2710,,,
1063,43.7,39.6,863,78,82,
,,41,1100,,82.5,1
2189,33.2,56.6,1822,100,72.2,1.032
1121,19.8,27.3,865,107,66.7,1.03
1775,27.7,44.7,1509,100,65.2,1.037
2172,44.6,67.7,1640,,79.2,1.193
3200,,,3300,215,,1.27
3440,74,138,2920,217,,
2900,,,3000,160,,1.27
2850,85,,,159,,
4015,41.3,80.4,2987,76,76.4,1.317
1833,11.1,57.5,1641,80,72.5,1.274
2491,22.9,62.8,2097,60,76.8,1.21
2787,40.3,67.6,2299,59,75.2,1.225
2963,57.9,91.6,2675,61,79.1,1.24
67,17.7,,66,160,91,1.22
90,41.7,3,81,,,1.16
3000,85,,,,,
3000,67,,,,,
15000,170,,,,,
3800,97,145,3400,,,
7800,126,,,,,
9000,80,130,8000,,,
,22.5,,,,,
,18,,27,,,
,18,,27,,,
,21,,93,3.1,,
,,,,,,3.065
,,,,,,3.16
,,,,,,6.088
,,,,,,6.088
,,,,,,2.44
,,,,,,3.985
,,430,,,,3.985
,760,,,,,3.23
1.4,1.9,,,,,
3.5,4.2,,,,,
1.6,2.3,,,,,
2.3,3.1,,,,,
6.4,8.4,,,,,
3.1,4.4,,,,,
1000,30,,,,,
1550,40,40,1275,,75,
1000,27.5,25,800,,70,
2600,51,,,,,
1100,19,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
